,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,house_material_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex,unique_address,LAT_LON,underground_search,metro_address,LAT_LON_metro,metro_nearest,airport_nearest,center_distance
0,TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/298036657/,Екатеринбург,sale,flat,19,31,1,46.6,7738000,2023,Монолитно-кирпичный,16.8,13.8,73432261731,Ленинский, Академика Бардина,26А,Чкаловская,Дом на Бардина,"Екатеринбург, Академика Бардина,26А","(56.807174592523, 60.557521651104)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",3195.4706431610302,16635.129692283812,4560.916390914429
1,AVS Девелопмент,official_representative,https://ekb.cian.ru/sale/flat/300540252/,Екатеринбург,sale,flat,3,24,1,43.0,9035000,2024,-1,13.0,16.9,79827302693,Центр, Большакова,66,Геологическая,RedRock,"Екатеринбург, Большакова,66","(56.818997938835, 60.615136587595)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",1081.2669568220913,14224.87242636747,1847.7889171810573
2,TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/298833689/,Екатеринбург,sale,flat,16,25,1,37.3,7874000,2023,Монолитно-кирпичный,12.0,15.5,73432261131,Чкаловский, 8 Марта,204Д,Чкаловская,Ботаника LIFE,"Екатеринбург, 8 Марта,204Д","(56.796060105225, 60.609919382543)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",1257.0454904607543,13210.02640000121,4389.911053965418
3,DREAM ROOMS,real_estate_agent,https://ekb.cian.ru/sale/flat/300484825/,Екатеринбург,sale,flat,2,17,1,39.7,4300000,1990,-1,21.4,9.2,79826206849,Верх-Исетский, Викулова,55,Геологическая,,"Екатеринбург, Викулова,55","(56.823800013784, 60.544489994899)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",3625.656706363881,18175.196617136684,4293.618449177623
4,Первостроитель,developer,https://ekb.cian.ru/sale/flat/297114703/,Екатеринбург,sale,flat,2,24,1,30.6,7367000,2023,Монолитно-кирпичный,16.0,5.0,73432261789,Кировский, Мира,47/7,Геологическая,Проспект Мира. Компаунд,"Екатеринбург, Мира,47/7","(56.833271681853, 60.65788143617)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",3396.1307215505526,13307.635662567756,2840.590357380501
5,Корпорация Маяк,developer,https://ekb.cian.ru/sale/flat/297234088/,Екатеринбург,sale,flat,2,17,1,54.0,10608000,2023,-1,14.6,15.9,73432261663,Октябрьский, Декабристов,20,Геологическая,Архитектон,"Екатеринбург, Декабристов,20","(56.824519600172, 60.619730232572)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",1002.0620686257269,14365.387387121931,1318.6511769145309
6,ACONS GROUP,developer,https://ekb.cian.ru/sale/flat/299763455/,Екатеринбург,sale,flat,5,30,1,47.1,10916000,2023,"Монолитно-кирпичный, монолитный",15.3,19.8,73432261672,, Машинная,1в/2,Чкаловская,Clever park,"Екатеринбург, Машинная,1в/2","(56.813509873724, 60.629363126375)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",1376.2214035304517,13162.632551394046,2677.36864426279
7,ID 46195849,homeowner,https://ekb.cian.ru/sale/flat/299938888/,Екатеринбург,sale,flat,4,5,1,30.0,3850000,1973,-1,17.0,6.4,79122804159,, Московская,225/2,Чкаловская,,"Екатеринбург, Московская,225/2","(56.80940669347, 60.593744488709)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",1009.0481974676172,14767.071852929914,3098.891282233577
8,АЗБУКА НЕДВИЖИМОСТИ,real_estate_agent,https://ekb.cian.ru/sale/flat/297116325/,Екатеринбург,sale,flat,4,12,1,36.6,3650000,1987,-1,18.3,9.6,79120515841,Железнодорожный, Ангарская,52А,Уралмаш,,"Екатеринбург, Ангарская,52А","(56.885808579105, 60.512766000122)",Станция метро Уралмаш,"Екатеринбург,Станция метро Уралмаш","('56.888655306822436', '60.6133351979879')",6138.474539674412,23745.67691922835,8228.412371068021
9,Самолет Плюс Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/295094598/,Екатеринбург,sale,flat,15,18,1,44.8,7200000,2012,-1,18.1,11.0,79122515743,Верх-Исетский, Токарей,40,Геологическая,,"Екатеринбург, Токарей,40","(56.834651980006, 60.560707133524)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",2779.686245002899,17952.119495452756,3102.993975894105
10,ДОМОС,real_estate_agent,https://ekb.cian.ru/sale/flat/300253294/,Екатеринбург,sale,flat,11,16,1,37.2,3950000,2018,-1,15.0,12.0,79126312743,Железнодорожный, Ангарская,28,Уралмаш,,"Екатеринбург, Ангарская,28","(56.886284084472, 60.502550471808)",Станция метро Уралмаш,"Екатеринбург,Станция метро Уралмаш","('56.888655306822436', '60.6133351979879')",6758.097661362736,24252.46181730108,8729.16816911369
11,Диал,real_estate_agent,https://ekb.cian.ru/sale/flat/300174639/,Екатеринбург,sale,flat,3,13,1,36.1,5500000,1979,-1,20.0,10.0,79126316275,Верх-Исетский, Папанина,1,Площадь 1905 года,,"Екатеринбург, Папанина,1","(56.844816797806, 60.5742190129)",Станция метро Площадь 1905 года,"Екатеринбург,Станция метро Площадь 1905 года","('56.8360065', '60.599696')",1838.556666448183,17946.02957770884,2503.100032003118
